nombre,categoria,sku,codigo_barras,precio_bs,precio_usd,costo_bs,costo_usd,stock_minimo
ABRAZADERA DE TUBO ESCAPE SCOOTER 150 COMPLETO,TODO MOTO 668,TM668-A002,,3687.50,147.50,2950.00,118.00,1
ABRAZADERA DE VOLANTE BERA,TODO MOTO 668,TM668-SH-L2401,,131.25,5.25,105.00,4.20,1
ACEITE MOTO 2T,TODO MOTO 668,TM668-V384,,387.50,15.50,310.00,12.40,1
AMORTIGUADOR DT 200,TODO MOTO 668,TM668-ATHJ,,156.25,6.25,125.00,5.00,1
AMORTIGUADOR JOG 50,TODO MOTO 668,TM668-AM96,,156.25,6.25,125.00,5.00,1
AMORTIGUADOR R1 200,TODO MOTO 668,TM668-ABN5,,150.00,6.00,120.00,4.80,1
AMORTIGUADOR SCOOTER RUNNER 150  325CM PAR,TODO MOTO 668,TM668-CQ16,,50.00,2.00,40.00,1.60,1
AMORTIGUADOR SCOOTER RUNNER 150  370CM PAR,TODO MOTO 668,TM668-CQ17,,1062.50,42.50,850.00,34.00,1
AMORTIGUADOR TRASERO HORSE 150 PAR,TODO MOTO 668,TM668-AM27J,,262.50,10.50,210.00,8.40,1
AMORTIGUADOR TRASERO MATRIX ELEGANCE 150 35 MM GRIS UNO,TODO MOTO 668,TM668-AM22J,,22.50,0.90,18.00,0.72,1
AMORTIGUADOR TRASERO MATRIX ELEGANCE 150 35 MM NEGRO UNO,TODO MOTO 668,TM668-AM21J,,22.50,0.90,18.00,0.72,1
AMORTIGUADOR TRASERO MATRIX ELEGANCE 150 38 MM GRIS UNO,TODO MOTO 668,TM668-AM24J,,22.50,0.90,18.00,0.72,1
AMORTIGUADOR TRASERO MATRIX ELEGANCE 150 38 MM NEGRO UNO,TODO MOTO 668,TM668-AM23J,,22.50,0.90,18.00,0.72,1
AMORTIGUADOR TRASERO MATRIX ELEGANCE 150 40 MM  GRIS UNO,TODO MOTO 668,TM668-AM26J,,78.75,3.15,63.00,2.52,1
AMORTIGUADOR TX 200,TODO MOTO 668,TM668-AB13,,66.25,2.65,53.00,2.12,1
ANILLO     AX100       0.25      BUENO,TODO MOTO 668,TM668-ANI30,,212.50,8.50,170.00,6.80,1
ANILLO     AX100       0.50      BARATO,TODO MOTO 668,TM668-ANI49,,325.00,13.00,260.00,10.40,1
ANILLO     AX100       0.75      BUENO,TODO MOTO 668,TM668-ANI32,,325.00,13.00,260.00,10.40,1
ANILLO     AX100       1.00      BARATO,TODO MOTO 668,TM668-ANI51,,325.00,13.00,260.00,10.40,1
ANILLO     AX100       STD      BUENO,TODO MOTO 668,TM668-ANI29,,325.00,13.00,260.00,10.40,1
ANILLO   EN  125  0.25  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS32,,325.00,13.00,260.00,10.40,1
ANILLO   EN  125  0.50  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS33,,325.00,13.00,260.00,10.40,1
ANILLO   EN  125  0.75  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS34,,325.00,13.00,260.00,10.40,1
ANILLO   EN  125  1.00  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS35,,325.00,13.00,260.00,10.40,1
ANILLO   EN  125  STD  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS31,,325.00,13.00,260.00,10.40,1
ANILLO   GN  125  0.25  BARATO,TODO MOTO 668,TM668-AN31J,,325.00,13.00,260.00,10.40,1
ANILLO   GN  125  0.50  BUENO Y OWEN 2014,TODO MOTO 668,TM668-ane13,,325.00,13.00,260.00,10.40,1
ANILLO   GN  125  0.75  BARATO    Y OWEN 2014,TODO MOTO 668,TM668-ANI75,,325.00,13.00,260.00,10.40,1
ANILLO   GN  125  0.75  BUENO Y OWEN 2014,TODO MOTO 668,TM668-ane14,,325.00,13.00,260.00,10.40,1
ANILLO   GN  125  1.00  BARATO    Y OWEN 2014,TODO MOTO 668,TM668-ANI76,,27.50,1.10,22.00,0.88,1
ANILLO   GN  125  1.00  BUENO Y OWEN 2014,TODO MOTO 668,TM668-ane15,,27.50,1.10,22.00,0.88,1
ANILLO   GN  125  STD  BUENO Y OWEN 2014,TODO MOTO 668,TM668-an20,,25.00,1.00,20.00,0.80,1
ANILLO   UM    200   0.75     BUENO,TODO MOTO 668,TM668-ANE59,,27.50,1.10,22.00,0.88,1
ANILLO  DT    200       0.25     BARATO,TODO MOTO 668,TM668-ANI13,,30.00,1.20,24.00,0.96,1
ANILLO  DT    200       0.50     BARATO,TODO MOTO 668,TM668-ANI14,,30.00,1.20,24.00,0.96,1
ANILLO  DT    200       0.50   B&C CALIDAD,TODO MOTO 668,TM668-A8,,25.00,1.00,20.00,0.80,1
ANILLO  DT    200       0.75     BARATO,TODO MOTO 668,TM668-ANI15,,27.50,1.10,22.00,0.88,1
ANILLO  DT    200       0.75   B&C CALIDAD,TODO MOTO 668,TM668-AN63,,30.00,1.20,24.00,0.96,1
ANILLO  DT    200       1.00     BARATO                OFERTA,TODO MOTO 668,TM668-ANI16,,25.00,1.00,20.00,0.80,1
ANILLO  DT    200       1.00   B&C CALIDAD,TODO MOTO 668,TM668-AN18,,362.50,14.50,290.00,11.60,1
ANILLO  JAGUAR 150  0.25   B&C CALIDA,TODO MOTO 668,TM668-A32,,387.50,15.50,310.00,12.40,1
ANILLO  JAGUAR 150  STD   B&C CALIDA,TODO MOTO 668,TM668-A31,,287.50,11.50,230.00,9.20,1
ANILLO  JAGUAR 150 0.50     BARATO   Y HAOJUE 150,TODO MOTO 668,TM668-ANI84,,300.00,12.00,240.00,9.60,1
ANILLO  JAGUAR 150 0.50    BUENO   Y HAOJUE 150,TODO MOTO 668,TM668-ANI7,,312.50,12.50,250.00,10.00,1
ANILLO  JAGUAR 150 0.50   B&C CALIDAD,TODO MOTO 668,TM668-A33,,1225.00,49.00,980.00,39.20,1
ANILLO  JAGUAR 150 0.75    BARATO   Y HAOJUE 150,TODO MOTO 668,TM668-ANI85,,1075.00,43.00,860.00,34.40,1
ANILLO  JAGUAR 150 0.75    BUENO   Y HAOJUE 150,TODO MOTO 668,TM668-ANE24,,262.50,10.50,210.00,8.40,1
ANILLO  JAGUAR 150 0.75   B&C CALIDAD,TODO MOTO 668,TM668-A34,,312.50,12.50,250.00,10.00,1
ANILLO  JAGUAR 150 1.00     BUENO   Y HAOJUE 150,TODO MOTO 668,TM668-ANE25,,300.00,12.00,240.00,9.60,1
ANILLO  JAGUAR 150 1.00   B&C CALIDAD,TODO MOTO 668,TM668-A35,,46.25,1.85,37.00,1.48,1
ANILLO  JAGUAR 150 STD CAILI,TODO MOTO 668,TM668-ANSTDJ,,75.00,3.00,60.00,2.40,1
ANILLO  JAGUAR 200 0.75     BARATO    Y BERA 200  63MM,TODO MOTO 668,TM668-ANI00,,218.75,8.75,175.00,7.00,1
ANILLO  JAGUAR 200 0.75     BUENO    Y BERA 200  63MM,TODO MOTO 668,TM668-ANE39,,8.12,0.33,6.50,0.26,1
ANILLO  JAGUAR 200 1.00     BARATO    Y BERA 200  63MM,TODO MOTO 668,TM668-ANI01,,50.00,2.00,40.00,1.60,1
ANILLO  JAGUAR 200 1.00     BUENO    Y BERA 200  63MM,TODO MOTO 668,TM668-ANE40,,97.50,3.90,78.00,3.12,1
ANILLO  R1    200       0.25  BUENO NHK,TODO MOTO 668,TM668-A118,,85.00,3.40,68.00,2.72,1
ANILLO  R1    200       0.25  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS43,,850.00,34.00,680.00,27.20,1
ANILLO  R1    200       0.50  BARATO,TODO MOTO 668,TM668-ANI09,,200.00,8.00,160.00,6.40,1
ANILLO  R1    200       0.50  BUENO,TODO MOTO 668,TM668-ANE48,,137.50,5.50,110.00,4.40,1
ANILLO  R1    200       0.50  CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS44,,300.00,12.00,240.00,9.60,1
ANILLO  R1    200       0.75   B&C CALIDAD,TODO MOTO 668,TM668-A4,,262.50,10.50,210.00,8.40,1
ANILLO  R1    200       0.75  BARATO,TODO MOTO 668,TM668-ANI10,,275.00,11.00,220.00,8.80,1
ANILLO  R1    200       0.75  BUENO,TODO MOTO 668,TM668-ANE49,,103.75,4.15,83.00,3.32,1
ANILLO  R1    200       1.00   B&C CALIDAD,TODO MOTO 668,TM668-A45,,106.25,4.25,85.00,3.40,1
ANILLO  R1    200       1.00   BARATO,TODO MOTO 668,TM668-ANI11,,22.50,0.90,18.00,0.72,1
ANILLO  R1    200       STD     BUENO NHK,TODO MOTO 668,TM668-AR1,,6.25,0.25,5.00,0.20,1
ANILLO  R1    200       STD   B&C CALIDA,TODO MOTO 668,TM668-A118,,31.25,1.25,25.00,1.00,1
ANILLO  TX     200      0.25   BARATO,TODO MOTO 668,TM668-AN32J,,102.50,4.10,82.00,3.28,1
ANILLO  TX    200       0.25   B&C CALIDAD,TODO MOTO 668,TM668-A37,,90.00,3.60,72.00,2.88,1
ANILLO  TX    200       0.50     BARATO,TODO MOTO 668,TM668-ANI04,,100.00,4.00,80.00,3.20,1
ANILLO  TX    200       0.50     BUENO,TODO MOTO 668,TM668-ANE43,,90.00,3.60,72.00,2.88,1
ANILLO  TX    200       0.50   B&C CALIDAD,TODO MOTO 668,TM668-A38,,35.00,1.40,28.00,1.12,1
ANILLO  TX    200       0.75     BARATO,TODO MOTO 668,TM668-ANI05,,35.00,1.40,28.00,1.12,1
ANILLO  TX    200       0.75     BUENO,TODO MOTO 668,TM668-ANE44,,43.75,1.75,35.00,1.40,1
ANILLO  TX    200       0.75   B&C CALIDAD,TODO MOTO 668,TM668-A39,,43.75,1.75,35.00,1.40,1
ANILLO  TX    200       1.00     BARATO,TODO MOTO 668,TM668-ANI06,,43.75,1.75,35.00,1.40,1
ANILLO  TX    200       1.00     BUENO,TODO MOTO 668,TM668-ANE45,,43.75,1.75,35.00,1.40,1
ANILLO  TX    200       1.00   B&C CALIDAD,TODO MOTO 668,TM668-A40,,32.50,1.30,26.00,1.04,1
ANILLO  TX    200       STD   B&C CALIDA,TODO MOTO 668,TM668-A37,,32.50,1.30,26.00,1.04,1
ANILLO  UM    200     0.25     BARATO Y BERA 200,TODO MOTO 668,TM668-ANI18,,32.50,1.30,26.00,1.04,1
ANILLO  UM    200     0.25   B&C CALIDAD,TODO MOTO 668,TM668-A102B,,32.50,1.30,26.00,1.04,1
ANILLO  UM    200     0.50     BARATO Y BERA 200         OFERTA,TODO MOTO 668,TM668-ANI19,,256.25,10.25,205.00,8.20,1
ANILLO  UM    200     0.50   B&C CALIDAD,TODO MOTO 668,TM668-A13,,256.25,10.25,205.00,8.20,1
ANILLO  UM    200     0.75     BARATO Y BERA 200,TODO MOTO 668,TM668-ANI20,,45.37,1.81,36.30,1.45,1
ANILLO  UM    200     0.75   B&C CALIDAD,TODO MOTO 668,TM668-A102E,,44.77,1.79,35.81,1.43,1
ANILLO  UM    200     1.00     BARATO Y BERA 200,TODO MOTO 668,TM668-ANI21,,45.37,1.81,36.30,1.45,1
ANILLO  UM    200     1.00   B&C CALIDAD,TODO MOTO 668,TM668-A102F,,25.95,1.04,20.76,0.83,1
ANILLO AX100 0.25 CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS18,,25.96,1.04,20.77,0.83,1
ANILLO AX100 0.50 CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS23,,45.37,1.81,36.30,1.45,1
ANILLO AX100 STD CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS05,,45.33,1.81,36.26,1.45,1
ANILLO BERA       150  0.25   BUENO,TODO MOTO 668,TM668-ANE03,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.25 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE32,,25.95,1.04,20.76,0.83,1
ANILLO BERA      150  0.50    BARATO,TODO MOTO 668,TM668-ANI94,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.50    BUENO,TODO MOTO 668,TM668-ANE33,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.50 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE33,,25.95,1.04,20.76,0.83,1
ANILLO BERA      150  0.75    BARATO,TODO MOTO 668,TM668-ANI95,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.75    BUENO,TODO MOTO 668,TM668-ANE34,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.75 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE34,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  1.00    BARATO,TODO MOTO 668,TM668-ANI96,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  1.00    BUENO,TODO MOTO 668,TM668-ANE35,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  STD CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE33,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150 1.00 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE35,,45.33,1.81,36.26,1.45,1
ANILLO DT     200       0.25   B&C CALIDA,TODO MOTO 668,TM668-A70,,43.75,1.75,35.00,1.40,1
ANILLO DT     200       STD   B&C CALIDA,TODO MOTO 668,TM668-ANI12J,,45.37,1.81,36.30,1.45,1
ANILLO HAOJUE 125  0.25   B&C CALIDA,TODO MOTO 668,TM668-A212,,43.75,1.75,35.00,1.40,1
ANILLO HAOJUE 125  0.75   B&C CALIDAD,TODO MOTO 668,TM668-ANE09,,45.37,1.81,36.30,1.45,1
ANILLO HAOJUE 125  1.00   B&C CALIDAD,TODO MOTO 668,TM668-A25,,43.75,1.75,35.00,1.40,1
ANILLO HAOJUE 125  STD   B&C CALIDA,TODO MOTO 668,TM668-A221,,32.43,1.30,25.95,1.04,1
ANILLO HAOUJE 125 0.50 BUENO,TODO MOTO 668,TM668-ANE08,,45.37,1.81,36.30,1.45,1
ANILLO HAOUJE 125 0.50 BUYCHASE  Y SCOOTER 125,TODO MOTO 668,TM668-A95,,32.43,1.30,25.95,1.04,1
ANILLO HAOUJE 125 STD BUENO,TODO MOTO 668,TM668-ANE06,,43.61,1.74,34.89,1.40,1
ANILLO HORSE    150  0.50    BARATO,TODO MOTO 668,TM668-ANI89,,43.61,1.74,34.89,1.40,1
ANILLO HORSE    150  0.75    BARATO,TODO MOTO 668,TM668-ANI90,,36.32,1.45,29.06,1.16,1
