nombre,precio_bs,precio_usd,categoria,sku,stock_minimo
ABRAZADERA DE ESCAPE,1422.29,4.305,ESCAPE,ESC-001,2
AMORTIGUADOR EH1,6141.76,18.59,SUSPENSION,SUS-001,1
AMORTIGUADOR GN,5913.80,17.90,SUSPENSION,SUS-002,2
AMORTIGUADOR OUTLOOK,5649.50,17.10,SUSPENSION,SUS-003,2
ANILLOS B150S STD,462.53,1.40,MOTOR,MOT-001,8
ANILLOS CG200 STD,370.03,1.12,MOTOR,MOT-002,10
ANILLOS EH1 STD,370.03,1.12,MOTOR,MOT-003,10
ARBOL DE LEVA CG150,1486.71,4.50,MOTOR,MOT-004,1
ARBOL DE LEVA GN125,1817.09,5.50,MOTOR,MOT-005,1
ARRANQUE JOG50,3406.22,10.31,ELECTRICO,ELE-001,3
BALANCIN CG150,165.19,0.50,MOTOR,MOT-006,2
BALANCIN CG200,198.23,0.60,MOTOR,MOT-007,2
BASE DE ESCAPE CG150,363.42,1.10,ESCAPE,ESC-002,2
BASE DE ESCAPE CG200,363.42,1.10,ESCAPE,ESC-003,2
BASE MANILLA CROCHE EH1,264.30,0.80,ACCESORIOS,ACC-001,1
BASE MANILLA CROCHE GN,954.80,2.89,ACCESORIOS,ACC-002,1
BATERIA EH1,5814.69,17.60,ELECTRICO,ELE-002,1
BATERIA OWEN,5814.69,17.60,ELECTRICO,ELE-003,2
BIELA DT200,2163.99,6.55,MOTOR,MOT-008,1
BIELA GN125,2163.99,6.55,MOTOR,MOT-009,1
BIELA HORSE 18MM,1883.17,5.70,MOTOR,MOT-010,1
BOBINA EH1 RACING PVC BUJIA,1222.41,3.70,ELECTRICO,ELE-004,1
BOBINA EOU/CG/EH1/BR1,759.87,2.30,ELECTRICO,ELE-005,1
BOBINA MHJ MD RACING PVC,1351.25,4.09,ELECTRICO,ELE-006,1
BOMBA ACEITE CG150,958.10,2.90,MOTOR,MOT-011,1
BOMBA ACEITE EH1,726.84,2.20,MOTOR,MOT-012,1
BOMBA FRENO CON MANILLA GN,1057.22,3.20,FRENOS,FRE-001,1
BOMBILLO LED KL324 DOS CONT,264.30,0.80,ILUMINACION,ILU-001,13
BOMBILLOS 12V FARO CABEZON,130.17,0.394,ILUMINACION,ILU-002,10
BOMBILLOS LED DOS CARAS 0035,758.82,2.296,ILUMINACION,ILU-003,3
BOMBILLOS LED DOS CARAS H4 C011,528.61,1.60,ILUMINACION,ILU-004,3
BOMBILLOS LED DOS CARAS H4 HN050,759.87,2.30,ILUMINACION,ILU-005,2
BUJES PORTA CORONA EH1/RKV,128.85,0.39,TRANSMISION,TRA-001,2
BUJES PORTA CORONA SGN/EOW/B150,128.85,0.39,TRANSMISION,TRA-002,2
BUJIAS,165.19,0.50,ELECTRICO,ELE-007,5
CACHIMBO CHUPON BUJIA NEGRO,65.19,0.197,ELECTRICO,ELE-008,15
CADENA ACEITE ERK/EA1/EOW,231.27,0.70,MOTOR,MOT-013,2
CADENA DE TIEMPO DT200,792.91,2.40,MOTOR,MOT-014,1
CADENA DORADA LARGA,2180.51,6.60,TRANSMISION,TRA-003,1
CADENA REFORZADA PLATEADA,1817.09,5.50,TRANSMISION,TRA-004,1
CAMPANA TX 70T,2213.55,6.70,TRANSMISION,TRA-005,1
CARBURADOR PZ26 EH1 M878,2940.38,8.90,CARBURACION,CAR-001,2
CARBURADOR PZ27 EH1,3072.53,9.30,CARBURACION,CAR-002,1
CDI CG/B150S/MHJ/BLE,594.68,1.80,ELECTRICO,ELE-009,2
CIGUEÑAL B150S,9085.45,27.50,MOTOR,MOT-015,1
CIGUENAL CG150 PASADOR GRUESO,9085.45,27.50,MOTOR,MOT-016,1
CIGÜEÑAL CG200 13MM,9614.06,29.10,MOTOR,MOT-017,1
COCHINITO BR150/BR1/BRX,822.65,2.49,ELECTRICO,ELE-010,2
COCHINITO OUTLOOK 2010,1285.18,3.89,ELECTRICO,ELE-011,2
COLECTOR DE ACEITE CG150,363.42,1.10,MOTOR,MOT-018,1
COLECTOR DE ACEITE HORSE,429.49,1.30,MOTOR,MOT-019,1
CONECTOR MANIFOR CARBURADOR,363.42,1.10,CARBURACION,CAR-003,1
CONTRAPESO EH1 ORIGINAL,958.10,2.90,CHASIS,CHA-001,1
CONTRAPESO NEGRO EOW,1123.29,3.40,CHASIS,CHA-002,1
CORONA CG 42T DORADA,1123.29,3.40,TRANSMISION,TRA-006,2
CORONA HORSE PALETA 37T DORADA,958.10,2.90,TRANSMISION,TRA-007,2
CORONA HORSE PALETA 38T DORADA,991.14,3.00,TRANSMISION,TRA-008,2
CORONA HORSE RAYADA 38T PLATA,991.14,3.00,TRANSMISION,TRA-009,1
CORONA MD150 PALETA 37T PLATA,958.10,2.90,TRANSMISION,TRA-010,2
CORONA MD150 PALETA 37T DORADA,958.10,2.90,TRANSMISION,TRA-011,2
CREMALLERA COMPLETA OUTLOOK,4886.32,14.79,TRANSMISION,TRA-012,2
CROCHERA COMPLETA DT200,941.58,2.85,TRANSMISION,TRA-013,1
CUENTA KM GN125,640.94,1.94,CHASIS,CHA-003,1
CUENTA KM TX,2345.70,7.10,CHASIS,CHA-004,1
DISCO CROCHE METAL EH1,693.80,2.10,TRANSMISION,TRA-014,2
DISCO FRENO HORSE,2362.22,7.15,FRENOS,FRE-002,2
DISCO FRENO OUTLOOK,2976.72,9.01,FRENOS,FRE-003,2
DISCO FRENO ROJO B150S,2345.70,7.10,FRENOS,FRE-004,1
DISCOS CROCHE PASTA 5P EH1,564.95,1.71,TRANSMISION,TRA-015,2
DISCOS CROCHE TX200 6P,660.76,2.00,TRANSMISION,TRA-016,2
EJE DE ARRANQUE MD,1787.36,5.41,MOTOR,MOT-020,2
EJE DE CAJA 147MM,627.72,1.90,MOTOR,MOT-021,2
EJE DE CAMBIO CG150 195CM,495.57,1.50,MOTOR,MOT-022,2
EJE DE CAMBIO EH1,865.60,2.62,MOTOR,MOT-023,2
EJE DE CAMBIO ETX200,495.57,1.50,MOTOR,MOT-024,1
EJE DE CAMBIO SGN125,991.14,3.00,MOTOR,MOT-025,1
EJE HORQUILLA BUJE CG150,693.80,2.10,CHASIS,CHA-005,2
EJE HORQUILLA BUJE HORSE,892.03,2.70,CHASIS,CHA-006,1
EJE HORQUILLA BUJE OWEN,1255.44,3.80,CHASIS,CHA-007,2
EJE DE HORQUILLA EH1,297.34,0.90,CHASIS,CHA-008,1
EJE DELANTERO CG150,264.30,0.80,CHASIS,CHA-009,2
EJE DELANTERO EH1,264.30,0.80,CHASIS,CHA-010,1
EJE HORQUILLA CG150,297.34,0.90,CHASIS,CHA-011,1
EJE HORQUILLA EOW,363.42,1.10,CHASIS,CHA-012,2
EJE TRASERO B150S/CG150,429.49,1.30,CHASIS,CHA-013,1
EJE TRASERO EH1,462.53,1.40,CHASIS,CHA-014,2
EMBOBINADO OWEN,3967.86,12.01,ELECTRICO,ELE-012,1
EMBOBINADO SGN125,3634.18,11.00,ELECTRICO,ELE-013,1
ESTOPERA KIT CG150,277.52,0.84,MOTOR,MOT-026,2
